Year,Value,UNIT_MEASURE
2009,6045,Broj
2010,5355,Broj
2011,6919,Broj
2012,7361,Broj
2013,7219,Broj
2014,7215,Broj
2015,7256,Broj
2016,7487,Broj
2017,7988,Broj
2018,7817,Broj
