Year,Value,UNIT_MEASURE
1998,8649,Broj
1999,8461,Broj
2000,8113,Broj
2001,8039,Broj
2002,8075,Broj
2003,8055,Broj
2004,8182,Broj
2005,8213,Broj
2006,8133,Broj
2007,8165,Broj
2008,8091,Broj
2009,8415,Broj
2010,8603,Broj
2011,8598,Broj
2012,8549,Broj
2013,8183,Broj
2014,8361,Broj
2015,8322,Broj
2016,8309,Broj
2017,13077,Broj
2018,13095,Broj
2019,12885,Broj
