Year,Value,UNIT_MEASURE
1999,16898,Broj
2000,16763,Broj
2001,16512,Broj
2002,16791,Broj
2003,16958,Broj
2004,16894,Broj
2005,17082,Broj
2006,17380,Broj
2007,17708,Broj
2008,18269,Broj
2009,18595,Broj
2010,19102,Broj
2011,19305,Broj
2012,19980,Broj
2013,19754,Broj
2014,20239,Broj
2015,20102,Broj
2016,20309,Broj
2017,19891,Broj
2018,20276,Broj
2019,20432,Broj
