Year,Value,UNIT_MEASURE
1997,34.39,%
1998,15.6,%
1999,9.6,%
2000,12.76,%
2001,2.42,%
2002,5.03,%
2003,3.87,%
2004,6.32,%
2005,3.9,%
2006,5.41,%
2007,5.86,%
2008,5.44,%
2009,-3.0,%
2010,0.86,%
2011,0.96,%
2012,-0.82,%
2013,2.35,%
2014,1.15,%
2015,4.28,%
2016,3.24,%
2017,3.24,%
2018,3.83,%
2019,2.88,%
2020,-3.01,%
2021,7.39,%
2022,4.23,%
2023,1.99,%
2024,2.97,%
