Year,Value,UNIT_MEASURE
2007,1189,Broj
2008,1215,Broj
2009,1241,Broj
2010,1229,Broj
2011,1229,Broj
2012,1261,Broj
2013,1149,Broj
2014,1113,Broj
2015,1091,Broj
2016,1099,Broj
2017,1056,Broj
2018,1068,Broj
2019,1062,Broj
