Year,Value,UNIT_MEASURE
1998,237,Broj
1999,226,Broj
2000,215,Broj
2001,214,Broj
2002,212,Broj
2003,211,Broj
2004,209,Broj
2005,210,Broj
2006,216,Broj
2007,217,Broj
2008,211,Broj
2009,219,Broj
2010,224,Broj
2011,224,Broj
2012,223,Broj
2013,213,Broj
2014,219,Broj
2015,218,Broj
2016,241,Broj
2017,380,Broj
2018,382,Broj
2019,377,Broj
