Year,Value,UNIT_MEASURE
2003,346,Broj
2004,353,Broj
2005,355,Broj
2006,345,Broj
2007,355,Broj
2008,346,Broj
2009,338,Broj
2010,345,Broj
2011,343,Broj
2012,343,Broj
2013,343,Broj
2014,340,Broj
2015,331,Broj
2016,334,Broj
2017,332,Broj
2018,345,Broj
2019,307,Broj
2020,323,Broj
2021,328,Broj
2022,304,Broj
2023,303,Broj
2024,320,Broj
