Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,17293
2012,NUMBER,_T,18817
2013,NUMBER,_T,19880
2014,NUMBER,_T,21490
2015,NUMBER,_T,22901
2016,NUMBER,_T,24918
2017,NUMBER,_T,25889
2018,NUMBER,_T,28511
2019,NUMBER,_T,30587
2020,NUMBER,_T,27698
2021,NUMBER,_T,33200
2022,NUMBER,_T,38762
2023,NUMBER,_T,41214
2011,NUMBER,M,9082
2012,NUMBER,M,9859
2013,NUMBER,M,10497
2014,NUMBER,M,11200
2015,NUMBER,M,11918
2016,NUMBER,M,13086
2017,NUMBER,M,13436
2018,NUMBER,M,14855
2019,NUMBER,M,15857
2020,NUMBER,M,14477
2021,NUMBER,M,17259
2022,NUMBER,M,20504
2023,NUMBER,M,21466
2011,NUMBER,F,8211
2012,NUMBER,F,8958
2013,NUMBER,F,9383
2014,NUMBER,F,10290
2015,NUMBER,F,10983
2016,NUMBER,F,11832
2017,NUMBER,F,12453
2018,NUMBER,F,13656
2019,NUMBER,F,14730
2020,NUMBER,F,13221
2021,NUMBER,F,15941
2022,NUMBER,F,18258
2023,NUMBER,F,19748
