Year,UNIT_MEASURE,Пол,Value
2014,Број,Оба пола,717
2015,Број,Оба пола,846
2016,Број,Оба пола,913
2017,Број,Оба пола,856
2018,Број,Оба пола,981
2019,Број,Оба пола,1022
2020,Број,Оба пола,1208
2014,Број,M,396
2015,Број,M,491
2016,Број,M,486
2017,Број,M,482
2018,Број,M,508
2019,Број,M,492
2020,Број,M,606
2014,Број,Ж,321
2015,Број,Ж,355
2016,Број,Ж,427
2017,Број,Ж,374
2018,Број,Ж,473
2019,Број,Ж,530
2020,Број,Ж,602
