Year,UNIT_MEASURE,Value
2009,NUMBER,6045
2010,NUMBER,5355
2011,NUMBER,6919
2012,NUMBER,7361
2013,NUMBER,7219
2014,NUMBER,7215
2015,NUMBER,7256
2016,NUMBER,7487
2017,NUMBER,7988
2018,NUMBER,7817
