Year,UNIT_MEASURE,Value
1998,Broj,237
1999,Broj,226
2000,Broj,215
2001,Broj,214
2002,Broj,212
2003,Broj,211
2004,Broj,209
2005,Broj,210
2006,Broj,216
2007,Broj,217
2008,Broj,211
2009,Broj,219
2010,Broj,224
2011,Broj,224
2012,Broj,223
2013,Broj,213
2014,Broj,219
2015,Broj,218
2016,Broj,241
2017,Broj,380
2018,Broj,382
2019,Broj,377
