Year,UNIT_MEASURE,Sex,Value
2011,Number,Both sexes,24605
2012,Number,Both sexes,24227
2013,Number,Both sexes,24476
2014,Number,Both sexes,24106
2015,Number,Both sexes,23515
2016,Number,Both sexes,23824
2017,Number,Both sexes,23978
2018,Number,Both sexes,24175
2019,Number,Both sexes,24361
2020,Number,Both sexes,24548
2021,Number,Both sexes,24601
2011,Number,M,7459
2012,Number,M,7177
2013,Number,M,7161
2014,Number,M,6971
2015,Number,M,6737
2016,Number,M,6779
2017,Number,M,6725
2018,Number,M,6648
2019,Number,M,6548
2020,Number,M,6530
2021,Number,M,6444
2011,Number,F,17146
2012,Number,F,17050
2013,Number,F,17315
2014,Number,F,17135
2015,Number,F,16778
2016,Number,F,17045
2017,Number,F,17253
2018,Number,F,17527
2019,Number,F,17813
2020,Number,F,18018
2021,Number,F,18157
