Year,Value,UNIT_MEASURE
1998,237,Number
1999,226,Number
2000,215,Number
2001,214,Number
2002,212,Number
2003,211,Number
2004,209,Number
2005,210,Number
2006,216,Number
2007,217,Number
2008,211,Number
2009,219,Number
2010,224,Number
2011,224,Number
2012,223,Number
2013,213,Number
2014,219,Number
2015,218,Number
2016,241,Number
2017,380,Number
2018,382,Number
2019,377,Number
