Year,Value,UNIT_MEASURE
2003,0.34,Number
2004,0.43,Number
2005,0.47,Number
2006,0.52,Number
2007,0.17,Number
2008,0.3,Number
2009,0.17,Number
2010,0.13,Number
2011,0.86,Number
2012,0.73,Number
2013,0.68,Number
2014,0.64,Number
2015,0.43,Number
2016,0.73,Number
2017,0.32,Number
2018,0.87,Number
2019,0.96,Number
2020,0.46,Number
2021,1.13,Number
2022,1.13,Number
2023,1.19,Number
2024,0.88,Number
