Year,Value,UNIT_MEASURE
1999,16898,Number
2000,16763,Number
2001,16512,Number
2002,16791,Number
2003,16958,Number
2004,16894,Number
2005,17082,Number
2006,17380,Number
2007,17708,Number
2008,18269,Number
2009,18595,Number
2010,19102,Number
2011,19305,Number
2012,19980,Number
2013,19754,Number
2014,20239,Number
2015,20102,Number
2016,20309,Number
2017,19891,Number
2018,20276,Number
2019,20432,Number
