Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,17724
2012,Broj,Oba spola,18040
2013,Broj,Oba spola,18007
2014,Broj,Oba spola,16131
2015,Broj,Oba spola,15149
2016,Broj,Oba spola,14407
2017,Broj,Oba spola,13709
2018,Broj,Oba spola,13394
2019,Broj,Oba spola,13053
2020,Broj,Oba spola,12288
2011,Broj,M,6984
2012,Broj,M,7168
2013,Broj,M,7248
2014,Broj,M,6554
2015,Broj,M,6382
2016,Broj,M,6062
2017,Broj,M,5845
2018,Broj,M,5571
2019,Broj,M,5302
2020,Broj,M,4977
2011,Broj,Ž,10740
2012,Broj,Ž,10872
2013,Broj,Ž,10759
2014,Broj,Ž,9577
2015,Broj,Ž,8767
2016,Broj,Ž,8345
2017,Broj,Ž,7864
2018,Broj,Ž,7823
2019,Broj,Ž,7751
2020,Broj,Ž,7311
