Year,UNIT_MEASURE,Spol,Value
2003,Broj,Oba spola,346
2004,Broj,Oba spola,353
2005,Broj,Oba spola,355
2006,Broj,Oba spola,345
2007,Broj,Oba spola,355
2008,Broj,Oba spola,346
2009,Broj,Oba spola,338
2010,Broj,Oba spola,345
2011,Broj,Oba spola,343
2012,Broj,Oba spola,343
2013,Broj,Oba spola,343
2014,Broj,Oba spola,340
2015,Broj,Oba spola,331
2016,Broj,Oba spola,334
2017,Broj,Oba spola,332
2018,Broj,Oba spola,345
2019,Broj,Oba spola,307
