Year,UNIT_MEASURE,Poljoprivredna aktivnost,Value
2013,Broj,Obavljanje poljoprivredne djelatnosti,363394
2013,Broj,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na pijaci,56609
