Year,UNIT_MEASURE,Value
2009,Broj,6045
2010,Broj,5355
2011,Broj,6919
2012,Broj,7361
2013,Broj,7219
2014,Broj,7215
2015,Broj,7256
2016,Broj,7487
2017,Broj,7988
2018,Broj,7817
