Year,UNIT_MEASURE,Value
1999,Broj,16898
2000,Broj,16763
2001,Broj,16512
2002,Broj,16791
2003,Broj,16958
2004,Broj,16894
2005,Broj,17082
2006,Broj,17380
2007,Broj,17708
2008,Broj,18269
2009,Broj,18595
2010,Broj,19102
2011,Broj,19305
2012,Broj,19980
2013,Broj,19754
2014,Broj,20239
2015,Broj,20102
2016,Broj,20309
2017,Broj,19891
2018,Broj,20276
2019,Broj,20432
