Year,UNIT_MEASURE,Value
2009,Number,6045
2010,Number,5355
2011,Number,6919
2012,Number,7361
2013,Number,7219
2014,Number,7215
2015,Number,7256
2016,Number,7487
2017,Number,7988
2018,Number,7817
