Year,UNIT_MEASURE,Value
1998,Number,237
1999,Number,226
2000,Number,215
2001,Number,214
2002,Number,212
2003,Number,211
2004,Number,209
2005,Number,210
2006,Number,216
2007,Number,217
2008,Number,211
2009,Number,219
2010,Number,224
2011,Number,224
2012,Number,223
2013,Number,213
2014,Number,219
2015,Number,218
2016,Number,241
2017,Number,380
2018,Number,382
2019,Number,377
