Year,UNIT_MEASURE,Sex,Value
2003,Number,Both sexes,5559
2004,Number,Both sexes,5680
2005,Number,Both sexes,5773
2006,Number,Both sexes,5932
2007,Number,Both sexes,6182
2008,Number,Both sexes,6275
2009,Number,Both sexes,6493
2010,Number,Both sexes,6665
2011,Number,Both sexes,6881
2012,Number,Both sexes,7026
2013,Number,Both sexes,7211
2014,Number,Both sexes,7272
2015,Number,Both sexes,7413
2016,Number,Both sexes,7453
2017,Number,Both sexes,7415
2018,Number,Both sexes,7599
2019,Number,Both sexes,7791
2003,Number,M,2453
2004,Number,M,2463
2005,Number,M,2458
2006,Number,M,2470
2007,Number,M,2558
2008,Number,M,2539
2009,Number,M,2641
2010,Number,M,2628
2011,Number,M,2699
2012,Number,M,2732
2013,Number,M,2804
2014,Number,M,2865
2015,Number,M,2859
2016,Number,M,2856
2017,Number,M,2829
2018,Number,M,2865
2019,Number,M,2898
