Year,UNIT_MEASURE,Sex,Value
2014,Number,Both sexes,87317
2015,Number,Both sexes,86021
2016,Number,Both sexes,80906
2017,Number,Both sexes,74365
2018,Number,Both sexes,67031
2019,Number,Both sexes,60283
2020,Number,Both sexes,59082
2014,Number,M,39901
2015,Number,M,39150
2016,Number,M,36437
2017,Number,M,33278
2018,Number,M,29233
2019,Number,M,26031
2020,Number,M,25346
2014,Number,F,47416
2015,Number,F,46871
2016,Number,F,44469
2017,Number,F,41087
2018,Number,F,37798
2019,Number,F,34252
2020,Number,F,33736
