Year,UNIT_MEASURE,Sex,Value
2011,Number,Both sexes,50567
2012,Number,Both sexes,41834
2013,Number,Both sexes,33672
2014,Number,Both sexes,36993
2015,Number,Both sexes,36434
2016,Number,Both sexes,36126
2017,Number,Both sexes,35694
2018,Number,Both sexes,32144
2019,Number,Both sexes,31728
2020,Number,Both sexes,30463
2021,Number,Both sexes,29633
2022,Number,Both sexes,29092
2023,Number,Both sexes,30148
2024,Number,Both sexes,29928
2011,Number,M,25977
2012,Number,M,21761
2013,Number,M,17181
2014,Number,M,18730
2015,Number,M,18662
2016,Number,M,18441
2017,Number,M,18266
2018,Number,M,16159
2019,Number,M,16244
2020,Number,M,15564
2021,Number,M,15135
2022,Number,M,14940
2023,Number,M,15511
2024,Number,M,15382
2011,Number,F,24590
2012,Number,F,20073
2013,Number,F,16491
2014,Number,F,18263
2015,Number,F,17772
2016,Number,F,17685
2017,Number,F,17428
2018,Number,F,15985
2019,Number,F,15484
2020,Number,F,14899
2021,Number,F,14498
2022,Number,F,14152
2023,Number,F,14637
2024,Number,F,14546
