Year,UNIT_MEASURE,Sex,Value
2011,Number,Both sexes,17724
2012,Number,Both sexes,18040
2013,Number,Both sexes,18007
2014,Number,Both sexes,16131
2015,Number,Both sexes,15149
2016,Number,Both sexes,14407
2017,Number,Both sexes,13709
2018,Number,Both sexes,13394
2019,Number,Both sexes,13053
2020,Number,Both sexes,12288
2011,Number,M,6984
2012,Number,M,7168
2013,Number,M,7248
2014,Number,M,6554
2015,Number,M,6382
2016,Number,M,6062
2017,Number,M,5845
2018,Number,M,5571
2019,Number,M,5302
2020,Number,M,4977
2011,Number,F,10740
2012,Number,F,10872
2013,Number,F,10759
2014,Number,F,9577
2015,Number,F,8767
2016,Number,F,8345
2017,Number,F,7864
2018,Number,F,7823
2019,Number,F,7751
2020,Number,F,7311
