Year,UNIT_MEASURE,Vrsta škole,Spol,Value
2011,Broj,Oba spola,Oba spola,35349
2012,Broj,Oba spola,Oba spola,34791
2013,Broj,Oba spola,Oba spola,40630
2014,Broj,Oba spola,Oba spola,43991
2015,Broj,Oba spola,Oba spola,43318
2016,Broj,Oba spola,Oba spola,35897
2017,Broj,Oba spola,Oba spola,31761
2018,Broj,Oba spola,Oba spola,32963
2019,Broj,Oba spola,Oba spola,32540
2020,Broj,Oba spola,Oba spola,31140
2011,Broj,Gimnazija,Oba spola,8863
2012,Broj,Gimnazija,Oba spola,8101
2013,Broj,Gimnazija,Oba spola,9732
2014,Broj,Gimnazija,Oba spola,10855
2015,Broj,Gimnazija,Oba spola,11920
2016,Broj,Gimnazija,Oba spola,9210
2017,Broj,Gimnazija,Oba spola,7893
2018,Broj,Gimnazija,Oba spola,7799
2019,Broj,Gimnazija,Oba spola,7462
2020,Broj,Gimnazija,Oba spola,7010
2011,Broj,Tehničke škole,Oba spola,17510
2012,Broj,Tehničke škole,Oba spola,16553
2013,Broj,Tehničke škole,Oba spola,19679
2014,Broj,Tehničke škole,Oba spola,21299
2015,Broj,Tehničke škole,Oba spola,21426
2016,Broj,Tehničke škole,Oba spola,18617
2017,Broj,Tehničke škole,Oba spola,15815
2018,Broj,Tehničke škole,Oba spola,16988
2019,Broj,Tehničke škole,Oba spola,17092
2020,Broj,Tehničke škole,Oba spola,16116
2011,Broj,Umjetničke škole,Oba spola,276
2012,Broj,Umjetničke škole,Oba spola,293
2013,Broj,Umjetničke škole,Oba spola,316
2014,Broj,Umjetničke škole,Oba spola,318
2015,Broj,Umjetničke škole,Oba spola,357
2016,Broj,Umjetničke škole,Oba spola,288
2017,Broj,Umjetničke škole,Oba spola,214
2018,Broj,Umjetničke škole,Oba spola,302
2019,Broj,Umjetničke škole,Oba spola,281
2020,Broj,Umjetničke škole,Oba spola,241
2011,Broj,Vjerske škole,Oba spola,447
2012,Broj,Vjerske škole,Oba spola,356
2013,Broj,Vjerske škole,Oba spola,460
2014,Broj,Vjerske škole,Oba spola,517
2015,Broj,Vjerske škole,Oba spola,602
2016,Broj,Vjerske škole,Oba spola,503
2017,Broj,Vjerske škole,Oba spola,476
2018,Broj,Vjerske škole,Oba spola,530
2019,Broj,Vjerske škole,Oba spola,553
2020,Broj,Vjerske škole,Oba spola,518
2011,Broj,Stručne škole,Oba spola,8154
2012,Broj,Stručne škole,Oba spola,9386
2013,Broj,Stručne škole,Oba spola,10331
2014,Broj,Stručne škole,Oba spola,10806
2015,Broj,Stručne škole,Oba spola,8890
2016,Broj,Stručne škole,Oba spola,7161
2017,Broj,Stručne škole,Oba spola,7260
2018,Broj,Stručne škole,Oba spola,7224
2019,Broj,Stručne škole,Oba spola,7018
2020,Broj,Stručne škole,Oba spola,7149
2011,Broj,Srednje škole za djecu s posebnim potrebama,Oba spola,99
