Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,35349
2012,Broj,Oba spola,34791
2013,Broj,Oba spola,40630
2014,Broj,Oba spola,43991
2015,Broj,Oba spola,43318
2016,Broj,Oba spola,35897
2017,Broj,Oba spola,31761
2018,Broj,Oba spola,32963
2019,Broj,Oba spola,32540
2020,Broj,Oba spola,31140
2011,Broj,M,18022
2012,Broj,M,18153
2013,Broj,M,20895
2014,Broj,M,22589
2015,Broj,M,22230
2016,Broj,M,18464
2017,Broj,M,16307
2018,Broj,M,16580
2019,Broj,M,16519
2020,Broj,M,15982
2011,Broj,Ž,17327
2012,Broj,Ž,16638
2013,Broj,Ž,19735
2014,Broj,Ž,21402
2015,Broj,Ž,21088
2016,Broj,Ž,17433
2017,Broj,Ž,15454
2018,Broj,Ž,16383
2019,Broj,Ž,16021
2020,Broj,Ž,15158
