Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,316657
2012,Број,Оба пола,304881
2013,Број,Оба пола,302133
2014,Број,Оба пола,296819
2015,Број,Оба пола,291342
2016,Број,Оба пола,287729
2017,Број,Оба пола,282946
2018,Број,Оба пола,280018
2019,Број,Оба пола,274034
2020,Број,Оба пола,268059
2021,Број,Оба пола,264802
2022,Број,Оба пола,260337
2011,Број,M,162596
2012,Број,M,156296
2013,Број,M,154895
2014,Број,M,152363
2015,Број,M,149888
2016,Број,M,148250
2017,Број,M,145441
2018,Број,M,143837
2019,Број,M,140792
2020,Број,M,137540
2021,Број,M,136347
2022,Број,M,133629
2011,Број,Ж,154061
2012,Број,Ж,148585
2013,Број,Ж,147238
2014,Број,Ж,144456
2015,Број,Ж,141454
2016,Број,Ж,139479
2017,Број,Ж,137505
2018,Број,Ж,136181
2019,Број,Ж,133242
2020,Број,Ж,130519
2021,Број,Ж,128455
2022,Број,Ж,126708
