Year,Value,UNIT_MEASURE
1998,8649,Број
1999,8461,Број
2000,8113,Број
2001,8039,Број
2002,8075,Број
2003,8055,Број
2004,8182,Број
2005,8213,Број
2006,8133,Број
2007,8165,Број
2008,8091,Број
2009,8415,Број
2010,8603,Број
2011,8598,Број
2012,8549,Број
2013,8183,Број
2014,8361,Број
2015,8322,Број
2016,8309,Број
2017,13077,Број
2018,13095,Број
2019,12885,Број
