Year,Value,UNIT_MEASURE
2009,6045,Број
2010,5355,Број
2011,6919,Број
2012,7361,Број
2013,7219,Број
2014,7215,Број
2015,7256,Број
2016,7487,Број
2017,7988,Број
2018,7817,Број
