Year,Value,UNIT_MEASURE
1999,16898,Број
2000,16763,Број
2001,16512,Број
2002,16791,Број
2003,16958,Број
2004,16894,Број
2005,17082,Број
2006,17380,Број
2007,17708,Број
2008,18269,Број
2009,18595,Број
2010,19102,Број
2011,19305,Број
2012,19980,Број
2013,19754,Број
2014,20239,Број
2015,20102,Број
2016,20309,Број
2017,19891,Број
2018,20276,Број
2019,20432,Број
