Year,Value,UNIT_MEASURE
2007,1189,Број
2008,1215,Број
2009,1241,Број
2010,1229,Број
2011,1229,Број
2012,1261,Број
2013,1149,Број
2014,1113,Број
2015,1091,Број
2016,1099,Број
2017,1056,Број
2018,1068,Број
2019,1062,Број
