Year,Value,UNIT_MEASURE
1998,237,Број
1999,226,Број
2000,215,Број
2001,214,Број
2002,212,Број
2003,211,Број
2004,209,Број
2005,210,Број
2006,216,Број
2007,217,Број
2008,211,Број
2009,219,Број
2010,224,Број
2011,224,Број
2012,223,Број
2013,213,Број
2014,219,Број
2015,218,Број
2016,241,Број
2017,380,Број
2018,382,Број
2019,377,Број
