Year,UNIT_MEASURE,Sex,Age,Value
2014,%,M,15 - 64,65.9
2014,%,F,15 - 89,33.0
2014,%,F,15 - 24,23.3
2014,%,F,25 - 49,60.0
2014,%,F,50 - 64,29.5
2014,%,F,65+,3.1
2014,%,F,15 - 64,42.4
2015,%,Both sexes,15 - 89,44.2
2015,%,Both sexes,15 - 24,32.2
2015,%,Both sexes,25 - 49,73.6
2015,%,Both sexes,50 - 64,41.7
2015,%,Both sexes,65+,4.3
2015,%,Both sexes,15 - 64,54.6
2015,%,Both sexes,15 - 74,48.3
2015,%,M,15 - 89,55.2
2015,%,M,15 - 24,38.9
2015,%,M,25 - 49,87.1
2015,%,M,50 - 64,53.7
2015,%,M,65+,6.0
2015,%,M,15 - 64,66.2
2015,%,M,15 - 74,59.5
2015,%,F,15 - 89,33.7
2015,%,F,15 - 24,24.5
2015,%,F,25 - 49,59.8
2015,%,F,50 - 64,30.5
2015,%,F,65+,3.0
2015,%,F,15 - 64,42.9
2015,%,F,15 - 74,37.3
2016,%,Both sexes,15 - 89,43.3
2016,%,Both sexes,15 - 24,30.2
2016,%,Both sexes,25 - 49,73.2
2016,%,Both sexes,50 - 64,43.7
2016,%,Both sexes,65+,4.1
2016,%,Both sexes,15 - 64,54.2
2016,%,Both sexes,15 - 74,47.6
2016,%,M,15 - 89,55.0
2016,%,M,15 - 24,38.1
2016,%,M,25 - 49,86.0
2016,%,M,50 - 64,57.4
2016,%,M,65+,6.0
2016,%,M,15 - 64,66.2
2016,%,M,15 - 74,59.4
2016,%,F,15 - 89,32.2
2016,%,F,15 - 24,21.3
2016,%,F,25 - 49,60.0
2016,%,F,50 - 64,30.6
2016,%,F,65+,2.7
2016,%,F,15 - 64,41.9
2016,%,F,15 - 74,36.0
2017,%,Both sexes,15 - 89,42.8
2017,%,Both sexes,15 - 24,32.5
2017,%,Both sexes,25 - 49,73.5
2017,%,Both sexes,50 - 64,43.6
2017,%,Both sexes,65+,5.2
2017,%,Both sexes,15 - 64,54.5
2017,%,Both sexes,15 - 74,47.6
2017,%,M,15 - 89,53.4
2017,%,M,15 - 24,40.2
2017,%,M,25 - 49,86.5
2017,%,M,50 - 64,56.4
2017,%,M,65+,6.9
2017,%,M,15 - 64,66.1
2017,%,M,15 - 74,58.3
2017,%,F,15 - 89,32.6
2017,%,F,15 - 24,23.4
2017,%,F,25 - 49,60.3
2017,%,F,50 - 64,31.6
2017,%,F,65+,3.9
2017,%,F,15 - 64,42.7
2017,%,F,15 - 74,37.0
2018,%,Both sexes,15 - 89,42.2
2018,%,Both sexes,15 - 24,32.3
2018,%,Both sexes,25 - 49,73.0
2018,%,Both sexes,50 - 64,44.6
2018,%,Both sexes,65+,4.7
2018,%,Both sexes,15 - 64,54.2
2018,%,Both sexes,15 - 74,46.8
2018,%,M,15 - 89,53.4
2018,%,M,15 - 24,40.4
2018,%,M,25 - 49,86.8
2018,%,M,50 - 64,57.3
2018,%,M,65+,6.2
2018,%,M,15 - 64,66.4
2018,%,M,15 - 74,58.1
2018,%,F,15 - 89,31.6
2018,%,F,15 - 24,23.1
2018,%,F,25 - 49,58.9
2018,%,F,50 - 64,32.3
2018,%,F,65+,3.6
2018,%,F,15 - 64,41.8
2018,%,F,15 - 74,35.5
2019,%,Both sexes,15 - 89,42.3
2019,%,Both sexes,15 - 24,35.4
2019,%,Both sexes,25 - 49,73.4
2019,%,Both sexes,50 - 64,46.7
2019,%,Both sexes,65+,6.9
2019,%,Both sexes,15 - 64,55.5
2019,%,Both sexes,15 - 74,46.9
2019,%,M,15 - 89,51.8
2019,%,M,15 - 24,39.8
2019,%,M,25 - 49,85.6
2019,%,M,50 - 64,60.1
2019,%,M,65+,8.8
2019,%,M,15 - 64,66.4
2019,%,M,15 - 74,56.7
2019,%,F,15 - 89,33.1
2019,%,F,15 - 24,29.9
2019,%,F,25 - 49,61.1
2019,%,F,50 - 64,34.1
2019,%,F,65+,5.3
2019,%,F,15 - 64,44.4
2019,%,F,15 - 74,37.3
2020,%,Both sexes,15 - 89,47.8
2020,%,Both sexes,15 - 24,33.2
2020,%,Both sexes,25 - 49,74.7
2020,%,Both sexes,50 - 64,46.2
2020,%,Both sexes,65+,5.1
2020,%,Both sexes,15 - 64,58.2
2020,%,Both sexes,15 - 74,51.4
2020,%,M,15 - 89,59.4
2020,%,M,15 - 24,38.5
2020,%,M,25 - 49,87.6
2020,%,M,50 - 64,60.8
2020,%,M,65+,6.4
2020,%,M,15 - 64,70.4
2020,%,M,15 - 74,62.9
2020,%,F,15 - 89,36.9
2020,%,F,15 - 24,27.6
2020,%,F,25 - 49,61.5
2020,%,F,50 - 64,32.5
2020,%,F,65+,4.2
2020,%,F,15 - 64,46.1
2020,%,F,15 - 74,40.3
