Year,UNIT_MEASURE,Sex,Value
2010,Number,Both sexes,50567
2011,Number,Both sexes,41834
2012,Number,Both sexes,33672
2013,Number,Both sexes,36993
2014,Number,Both sexes,36434
2015,Number,Both sexes,36126
2016,Number,Both sexes,35694
2017,Number,Both sexes,32144
2018,Number,Both sexes,31728
2019,Number,Both sexes,30463
2020,Number,Both sexes,29633
2010,Number,M,25977
2011,Number,M,21761
2012,Number,M,17181
2013,Number,M,18730
2014,Number,M,18662
2015,Number,M,18441
2016,Number,M,18266
2017,Number,M,16159
2018,Number,M,16244
2019,Number,M,15564
2020,Number,M,15135
2010,Number,F,24590
2011,Number,F,20073
2012,Number,F,16491
2013,Number,F,18263
2014,Number,F,17772
2015,Number,F,17685
2016,Number,F,17428
2017,Number,F,15985
2018,Number,F,15484
2019,Number,F,14899
2020,Number,F,14498
