Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Advanced_schools_faculty_academy_university,Advanced schools/faculty/academy/university,Napredne škole /fakultet/akademija/univerzitet,Напредне школе/факултет/академија/универзитет,Napredne škole/fakultet/akademija/univerzitet,3,1
High_school_and_first_grade_of_faculty,High school and first grade of faculty,Srednja škola i prva godina fakulteta,Средња школа и прва година факултета,Srednja škola i prva godina fakulteta,3,1
Incomplete_primary_education,Incomplete primary education,Nezavršeno osnovno obrazovanje,Незавршено основно образовање,Nezavršeno osnovno obrazovanje,3,1
No_education,No education,Neobrazovan,Необразован,Neobrazovan,3,1
Post-secondary_school_specialization,Post-secondary school specialization,Specijalizacija nakon završene srednje škole,Специјализација након завршене средње школе,Specijalizacija nakon završene srednje škole,3,1
Primary_school,Primary school,Osnovna škola,Основна школа,Osnovna škola,3,1
Secondary_school,Secondary school,Secondary_school,Secondary_school,Secondary_school,3,1
