Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Both sexes,Oba spola,Оба пола,Oba spola,3,1
adult_beneficiaries,Adult beneficiaries,Odrasli korisnici,Одрасли корисници,Odrasli korisnici,3,1
minor_beneficiaries,Minor beneficiaries,Maloljetni korisnici,Малољетни корисници,Malodobni korisnici,3,1
