Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Q1,Q1,I kvartal,I квартал,I kvartal,30,1
Q2,Q2,II kvartal,Q2,Q2,30,1
Q3,Q3,III kvartal,Q3,Q3,30,1
Q4,Q4,IV kvartal,Q4,Q4,30,1
