Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Both sexes,Oba spola,Оба пола,Oba spola,6,2
art_schools,Art schools,Umjetničke škole,Умјетничке школе,Umjetničke škole,6,2
gymnasium,Gymnasium,Gimnazija,Гимназија,Gimnazija,6,2
high_schools_for_children_with_special_needs,High schools for children with special needs,Srednje škole za djecu s posebnim potrebama,Средње школе за дјецу са посебним потребама,Srednje škole za djecu s posebnim potrebama,6,2
religion_schools,Religion schools,Vjerske škole,Вјерске школе,Vjerske škole,6,2
technical_schools,Technical schools,Tehničke škole,Техничке школе,Tehničke škole,6,2
vocational_schools,Vocational schools,Stručne škole,Стручне школ,Stručne škole,6,2
