Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
DEATHS,Deaths,Umrli,Умрли,Umrli,6,2
LIVE_BIRTH,Live births,Živorođeni,Живорођени,Živorođeni,6,2
NATURAL_CHANGE,Natural change,Prirodni priraštaj,Природни прираштај,Prirodni priraštaj,4,2
