Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Q,Q,Q,Q,Q,1,1
Q1,Q1,I kvartal,I квартал,I kvartal,60,2
Q2,Q2,II kvartal,II квартал,II kvartal,60,2
Q3,Q3,III kvartal,III квартал,III kvartal,59,2
Q4,Q4,IV kvartal,IV квартал,IV kvartal,59,2
Q4%,Q4%,Q4%,Q4%,Q4%,1,1
