Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
employees,Employees,Zaposlenici,Запосленици,Zaposlenici,3,1
self_employed,Self-employed,Samozaposlenici,Самозапосленици,Samozaposlenici,3,1
unpaid_family_workers,Unpaid family workers,Neplaćeni pomažući članovi,Неплаћени помажући чланови,Neplaćeni pomažući članovi,3,1
