Year,UNIT_MEASURE,Value
2009,NUMBER,20.94
2010,NUMBER,17.2
2011,NUMBER,20.57
2012,NUMBER,15.11
2013,NUMBER,17.98
2014,NUMBER,14.13
2015,NUMBER,17.61
