Year,UNIT_MEASURE,Пол,Value
2011,Број,Оба пола,35349
2012,Број,Оба пола,34791
2013,Број,Оба пола,40630
2014,Број,Оба пола,43991
2015,Број,Оба пола,43318
2016,Број,Оба пола,35897
2017,Број,Оба пола,31761
2018,Број,Оба пола,32963
2019,Број,Оба пола,32540
2020,Број,Оба пола,31140
2011,Број,M,18022
2012,Број,M,18153
2013,Број,M,20895
2014,Број,M,22589
2015,Број,M,22230
2016,Број,M,18464
2017,Број,M,16307
2018,Број,M,16580
2019,Број,M,16519
2020,Број,M,15982
2011,Број,Ж,17327
2012,Број,Ж,16638
2013,Број,Ж,19735
2014,Број,Ж,21402
2015,Број,Ж,21088
2016,Број,Ж,17433
2017,Број,Ж,15454
2018,Број,Ж,16383
2019,Број,Ж,16021
2020,Број,Ж,15158
