Year,Quarter,UNIT_MEASURE,SEX,AGE,Value
2021,Q2,%,F,15 - 89,29.0
2021,Q2,%,F,15 - 24,13.0
2021,Q2,%,F,25 - 49,49.0
2021,Q2,%,F,50 - 64,28.0
2021,Q2,%,F,65+,3.0
2021,Q2,%,F,15 - 64,36.0
2021,Q2,%,F,20 - 64,39.0
2021,Q2,%,F,25 - 34,45.0
2021,Q2,%,F,15 - 74,31.0
2021,Q2,%,F,65 - 74,4.0
2021,Q3,%,_T,15 - 89,40.0
2021,Q3,%,_T,15 - 24,20.0
2021,Q3,%,_T,25 - 49,64.0
2021,Q3,%,_T,50 - 64,43.0
2021,Q3,%,_T,65+,3.0
2021,Q3,%,_T,15 - 64,50.0
2021,Q3,%,_T,20 - 64,54.0
2021,Q3,%,_T,25 - 34,61.0
2021,Q3,%,_T,15 - 74,43.0
2021,Q3,%,_T,65 - 74,4.0
2021,Q3,%,M,15 - 89,52.0
2021,Q3,%,M,15 - 24,26.0
2021,Q3,%,M,25 - 49,78.0
2021,Q3,%,M,50 - 64,57.0
2021,Q3,%,M,65+,4.0
2021,Q3,%,M,15 - 64,62.0
2021,Q3,%,M,20 - 64,67.0
2021,Q3,%,M,25 - 34,73.0
2021,Q3,%,M,15 - 74,55.0
2021,Q3,%,M,65 - 74,6.0
2021,Q3,%,F,15 - 89,29.0
2021,Q3,%,F,15 - 24,13.0
2021,Q3,%,F,25 - 49,50.0
2021,Q3,%,F,50 - 64,29.0
2021,Q3,%,F,65+,3.0
2021,Q3,%,F,15 - 64,37.0
2021,Q3,%,F,20 - 64,40.0
2021,Q3,%,F,25 - 34,48.0
2021,Q3,%,F,15 - 74,32.0
2021,Q3,%,F,65 - 74,3.0
2021,Q4,%,_T,15 - 89,41.0
2021,Q4,%,_T,15-24,20.0
2021,Q4,%,_T,25 - 49,65.0
2021,Q4,%,_T,50 - 64,43.0
2021,Q4,%,_T,65+,3.0
2021,Q4,%,_T,15 - 64,50.0
2021,Q4,%,_T,20 - 64,54.0
2021,Q4,%,_T,25 - 34,62.0
2021,Q4,%,_T,15 - 74,44.0
2021,Q4,%,_T,65 - 74,3.0
2021,Q4,%,M,15 - 89,52.0
2021,Q4,%,M,15 - 24,25.0
2021,Q4,%,M,25 - 49,78.0
2021,Q4,%,M,50 - 64,58.0
2021,Q4,%,M,65+,4.0
2021,Q4,%,M,15 - 64,62.0
2021,Q4,%,M,20 - 64,67.0
2021,Q4,%,M,25 - 34,74.0
2021,Q4,%,M,15 - 74,55.0
2021,Q4,%,M,65 - 74,5.0
2021,Q4,%,F,15 - 89,30.0
2021,Q4,%,F,15 - 24,16.0
2021,Q4,%,F,25 - 49,52.0
2021,Q4,%,F,50 - 64,28.0
2021,Q4,%,F,65+,2.0
2021,Q4,%,F,15 - 64,38.0
2021,Q4,%,F,20 - 64,41.0
2021,Q4,%,F,25 - 34,50.0
2021,Q4,%,F,15 - 74,32.0
