Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,163284
2012,Broj,Oba spola,166662
2013,Broj,Oba spola,156350
2014,Broj,Oba spola,143881
2015,Broj,Oba spola,133228
2016,Broj,Oba spola,126824
2017,Broj,Oba spola,124148
2018,Broj,Oba spola,117475
2019,Broj,Oba spola,112796
2020,Broj,Oba spola,110404
2021,Broj,Oba spola,108257
2022,Broj,Oba spola,107936
2023,Broj,Oba spola,107740
2011,Broj,M,82745
2012,Broj,M,84420
2013,Broj,M,78882
2014,Broj,M,72095
2015,Broj,M,66708
2016,Broj,M,63232
2017,Broj,M,61934
2018,Broj,M,58821
2019,Broj,M,56328
2020,Broj,M,55068
2021,Broj,M,53916
2022,Broj,M,53454
2023,Broj,M,53437
2011,Broj,Ž,80539
2012,Broj,Ž,82242
2013,Broj,Ž,77468
2014,Broj,Ž,71786
2015,Broj,Ž,66520
2016,Broj,Ž,63592
2017,Broj,Ž,62214
2018,Broj,Ž,58654
2019,Broj,Ž,56468
2020,Broj,Ž,55336
2021,Broj,Ž,54341
2022,Broj,Ž,54482
2023,Broj,Ž,54303
