Year,UNIT_MEASURE,Value
1998,NUMBER,237
1999,NUMBER,226
2000,NUMBER,215
2001,NUMBER,214
2002,NUMBER,212
2003,NUMBER,211
2004,NUMBER,209
2005,NUMBER,210
2006,NUMBER,216
2007,NUMBER,217
2008,NUMBER,211
2009,NUMBER,219
2010,NUMBER,224
2011,NUMBER,224
2012,NUMBER,223
2013,NUMBER,213
2014,NUMBER,219
2015,NUMBER,218
2016,NUMBER,241
2017,NUMBER,380
2018,NUMBER,382
2019,NUMBER,377
