Year,UNIT_MEASURE,Value
2003,Broj,346
2004,Broj,353
2005,Broj,355
2006,Broj,345
2007,Broj,355
2008,Broj,346
2009,Broj,338
2010,Broj,345
2011,Broj,343
2012,Broj,343
2013,Broj,343
2014,Broj,340
2015,Broj,331
2016,Broj,334
2017,Broj,332
2018,Broj,345
2019,Broj,307
2020,Broj,323
2021,Broj,328
2022,Broj,304
2023,Broj,303
2024,Broj,320
