Year,UNIT_MEASURE,Пол,Value
2014,Број,Оба пола,11333
2015,Број,Оба пола,12062
2016,Број,Оба пола,11604
2017,Број,Оба пола,11360
2018,Број,Оба пола,12083
2019,Број,Оба пола,12449
2020,Број,Оба пола,13192
2014,Број,M,4494
2015,Број,M,4717
2016,Број,M,4655
2017,Број,M,4471
2018,Број,M,4563
2019,Број,M,4808
2020,Број,M,4945
2014,Број,Ж,6839
2015,Број,Ж,7345
2016,Број,Ж,6949
2017,Број,Ж,6889
2018,Број,Ж,7520
2019,Број,Ж,7641
2020,Број,Ж,8247
