Year,UNIT_MEASURE,Value
1998,Број,237
1999,Број,226
2000,Број,215
2001,Број,214
2002,Број,212
2003,Број,211
2004,Број,209
2005,Број,210
2006,Број,216
2007,Број,217
2008,Број,211
2009,Број,219
2010,Број,224
2011,Број,224
2012,Број,223
2013,Број,213
2014,Број,219
2015,Број,218
2016,Број,241
2017,Број,380
2018,Број,382
2019,Број,377
