Year,UNIT_MEASURE,Value
2007,Broj,1189
2008,Broj,1215
2009,Broj,1241
2010,Broj,1229
2011,Broj,1229
2012,Broj,1261
2013,Broj,1149
2014,Broj,1113
2015,Broj,1091
2016,Broj,1099
2017,Broj,1056
2018,Broj,1068
2019,Broj,1062
