Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,189
2012,Broj,Oba spola,215
2013,Broj,Oba spola,275
2014,Broj,Oba spola,301
2015,Broj,Oba spola,285
2016,Broj,Oba spola,241
2017,Broj,Oba spola,285
2018,Broj,Oba spola,193
2019,Broj,Oba spola,166
2020,Broj,Oba spola,148
2011,Broj,M,114
2012,Broj,M,126
2013,Broj,M,163
2014,Broj,M,185
2015,Broj,M,157
2016,Broj,M,142
2017,Broj,M,152
2018,Broj,M,106
2019,Broj,M,97
2020,Broj,M,90
2011,Broj,Ž,75
2012,Broj,Ž,89
2013,Broj,Ž,112
2014,Broj,Ž,116
2015,Broj,Ž,128
2016,Broj,Ž,99
2017,Broj,Ž,133
2018,Broj,Ž,87
2019,Broj,Ž,69
2020,Broj,Ž,58
