Year,UNIT_MEASURE,Value
2020,number_per_1000,8.6
2025,number_per_1000,7.9
2030,number_per_1000,7.3
2035,number_per_1000,6.6
2040,number_per_1000,6.6
2045,number_per_1000,6.5
2050,number_per_1000,6.4
2055,number_per_1000,6.3
2060,number_per_1000,6.2
2065,number_per_1000,6.1
2070,number_per_1000,6.1
