Year,UNIT_MEASURE,Sex,Value
2011,Number,Both sexes,17293
2012,Number,Both sexes,18817
2013,Number,Both sexes,19880
2014,Number,Both sexes,21490
2015,Number,Both sexes,22901
2016,Number,Both sexes,24918
2017,Number,Both sexes,25889
2018,Number,Both sexes,28511
2019,Number,Both sexes,30587
2020,Number,Both sexes,27698
2021,Number,Both sexes,33200
2011,Number,M,9082
2012,Number,M,9859
2013,Number,M,10497
2014,Number,M,11200
2015,Number,M,11918
2016,Number,M,13086
2017,Number,M,13436
2018,Number,M,14855
2019,Number,M,15857
2020,Number,M,14477
2021,Number,M,17259
2011,Number,F,8211
2012,Number,F,8958
2013,Number,F,9383
2014,Number,F,10290
2015,Number,F,10983
2016,Number,F,11832
2017,Number,F,12453
2018,Number,F,13656
2019,Number,F,14730
2020,Number,F,13221
2021,Number,F,15941
