Year,UNIT_MEASURE,Пол,Value
2014,Број,Оба пола,87317
2015,Број,Оба пола,86021
2016,Број,Оба пола,80906
2017,Број,Оба пола,74365
2018,Број,Оба пола,67031
2019,Број,Оба пола,60283
2020,Број,Оба пола,59082
2014,Број,M,39901
2015,Број,M,39150
2016,Број,M,36437
2017,Број,M,33278
2018,Број,M,29233
2019,Број,M,26031
2020,Број,M,25346
2014,Број,Ж,47416
2015,Број,Ж,46871
2016,Број,Ж,44469
2017,Број,Ж,41087
2018,Број,Ж,37798
2019,Број,Ж,34252
2020,Број,Ж,33736
