Year,UNIT_MEASURE,Value
2007,NUMBER,1189
2008,NUMBER,1215
2009,NUMBER,1241
2010,NUMBER,1229
2011,NUMBER,1229
2012,NUMBER,1261
2013,NUMBER,1149
2014,NUMBER,1113
2015,NUMBER,1091
2016,NUMBER,1099
2017,NUMBER,1056
2018,NUMBER,1068
2019,NUMBER,1062
