Year,UNIT_MEASURE,Sex,Value
2014,Number,Both sexes,717
2015,Number,Both sexes,846
2016,Number,Both sexes,913
2017,Number,Both sexes,856
2018,Number,Both sexes,981
2019,Number,Both sexes,1022
2020,Number,Both sexes,1208
2021,Number,Both sexes,1297
2022,Number,Both sexes,1263
2014,Number,M,396
2015,Number,M,491
2016,Number,M,486
2017,Number,M,482
2018,Number,M,508
2019,Number,M,492
2020,Number,M,606
2021,Number,M,614
2022,Number,M,589
2014,Number,F,321
2015,Number,F,355
2016,Number,F,427
2017,Number,F,374
2018,Number,F,473
2019,Number,F,530
2020,Number,F,602
2021,Number,F,683
2022,Number,F,674
