Year,UNIT_MEASURE,SEX,Value
2003,Age,_T,
2003,Age,M,
2003,Age,F,
2004,Age,_T,
2004,Age,M,
2004,Age,F,
2005,Age,_T,
2005,Age,M,
2005,Age,F,
2006,Age,_T,
2006,Age,M,
2006,Age,F,
2007,Age,_T,
2007,Age,M,
2007,Age,F,
2008,Age,_T,
2008,Age,M,
2008,Age,F,
2009,Age,_T,
2009,Age,M,
2009,Age,F,
2010,Age,_T,
2010,Age,M,
2010,Age,F,
2011,Age,_T,
2011,Age,M,
2011,Age,F,
2012,Age,_T,
2012,Age,M,
2012,Age,F,
2013,Age,_T,
2013,Age,M,
2013,Age,F,
2014,Age,_T,
2014,Age,M,
2014,Age,F,
2015,Age,_T,
2015,Age,M,
2015,Age,F,
2016,Age,_T,
2016,Age,M,
2016,Age,F,
2017,Age,_T,
2017,Age,M,
2017,Age,F,
2018,Age,_T,
2018,Age,M,
2018,Age,F,
2019,Age,_T,
2019,Age,M,
2019,Age,F,
2020,Age,_T,
2020,Age,M,
2020,Age,F,
