Year,UNIT_MEASURE,SEX,AGE,Value
1971,NUMBER,_T,0-4,405505
1971,NUMBER,_T,5-9,442665
1971,NUMBER,_T,10-14,442199
1971,NUMBER,_T,15-19,411387
1971,NUMBER,_T,20-24,319317
1971,NUMBER,_T,25-29,225727
1971,NUMBER,_T,30-34,289810
1971,NUMBER,_T,35-39,280482
1971,NUMBER,_T,40-44,243016
1971,NUMBER,_T,45-49,166241
1971,NUMBER,_T,50-54,101840
1971,NUMBER,_T,55-59,114629
1971,NUMBER,_T,60-64,112727
1971,NUMBER,_T,65-69,79808
1971,NUMBER,_T,70-74,53549
1971,NUMBER,_T,75-79,23050
1971,NUMBER,_T,80-84,12152
1971,NUMBER,_T,85-89,5112
1971,NUMBER,_T,90-94,1938
1971,NUMBER,_T,95-99,672
1971,NUMBER,_T,100-104,62
1971,NUMBER,_T,105-109,0
1971,NUMBER,_T,110-114,0
1971,NUMBER,_T,115-120,0
1971,NUMBER,_T,Unknown,14223
1971,NUMBER,_T,Total,3746111
1971,NUMBER,_T,0-14,1290369
1971,NUMBER,_T,15-29,956431
1971,NUMBER,_T,15-49,1935980
1971,NUMBER,_T,15-64,2265176
1971,NUMBER,_T,65+,190566
1971,NUMBER,_T,75+,57209
1971,NUMBER,_T,85+,7784
1971,NUMBER,_T,100+,62
1981,NUMBER,_T,0-4,"365332 "
1981,NUMBER,_T,5-9,"375765 "
1981,NUMBER,_T,10-14,"393024 "
1981,NUMBER,_T,15-19,"433304 "
1981,NUMBER,_T,20-24,"404751 "
1981,NUMBER,_T,25-29,"357773 "
1981,NUMBER,_T,30-34,"294502 "
1981,NUMBER,_T,35-39,"216718 "
1981,NUMBER,_T,40-44,"280137 "
1981,NUMBER,_T,45-49,"267657 "
1981,NUMBER,_T,50-54,"230515 "
1981,NUMBER,_T,55-59,"154374 "
1981,NUMBER,_T,60-64,"90131 "
1981,NUMBER,_T,65-69,"92274 "
1981,NUMBER,_T,70-74,"77597 "
1981,NUMBER,_T,75-79,"44610 "
1981,NUMBER,_T,80-84,"25228 "
1981,NUMBER,_T,85-89,"6898 "
1981,NUMBER,_T,90-94,"2623 "
1981,NUMBER,_T,95-99,"1027 "
1981,NUMBER,_T,100-104,"109 "
1981,NUMBER,_T,105-109,"0 "
1981,NUMBER,_T,110-114,"0 "
1981,NUMBER,_T,115-120,"0 "
1981,NUMBER,_T,Unknown,"9907 "
1981,NUMBER,_T,Total,"4124256 "
1981,NUMBER,_T,0-14,"1134121 "
1981,NUMBER,_T,15-29,"1195828 "
1981,NUMBER,_T,15-49,"2254842 "
1981,NUMBER,_T,15-64,"2729862 "
1981,NUMBER,_T,65+,"260273 "
1981,NUMBER,_T,75+,"90402 "
1981,NUMBER,_T,85+,"10657 "
1981,NUMBER,_T,100+,"109 "
1991,NUMBER,_T,0-4,"332422 "
1991,NUMBER,_T,5-9,"347379 "
1991,NUMBER,_T,10-14,"347590 "
1991,NUMBER,_T,15-19,"360008 "
1991,NUMBER,_T,20-24,"359991 "
1991,NUMBER,_T,25-29,"371776 "
1991,NUMBER,_T,30-34,"361854 "
1991,NUMBER,_T,35-39,"334569 "
1991,NUMBER,_T,40-44,"276412 "
1991,NUMBER,_T,45-49,"201165 "
1991,NUMBER,_T,50-54,"257382 "
1991,NUMBER,_T,55-59,"241011 "
1991,NUMBER,_T,60-64,"198647 "
1991,NUMBER,_T,65-69,"124752 "
1991,NUMBER,_T,70-74,"62922 "
1991,NUMBER,_T,75-79,"50802 "
1991,NUMBER,_T,80-84,"30847 "
1991,NUMBER,_T,85-89,"11569 "
1991,NUMBER,_T,90-94,"2896 "
1991,NUMBER,_T,95-99,"438 "
1991,NUMBER,_T,100-104,"101 "
1991,NUMBER,_T,105-109,"20 "
1991,NUMBER,_T,110-114,"14 "
1991,NUMBER,_T,115-120,"4 "
1991,NUMBER,_T,Unknown,"102462 "
1991,NUMBER,_T,Total,"4377033 "
1991,NUMBER,_T,0-14,"1027391 "
1991,NUMBER,_T,15-29,"1091775 "
1991,NUMBER,_T,15-49,"2265775 "
1991,NUMBER,_T,15-64,"2962815 "
1991,NUMBER,_T,65+,"386827 "
1991,NUMBER,_T,75+,"199153 "
1991,NUMBER,_T,85+,"15042 "
1991,NUMBER,_T,100+,"139 "
2013,NUMBER,_T,0-4,174064
2013,NUMBER,_T,5-9,176980
2013,NUMBER,_T,10-14,192675
2013,NUMBER,_T,15-19,242742
2013,NUMBER,_T,20-24,228056
2013,NUMBER,_T,25-29,252318
2013,NUMBER,_T,30-34,252633
2013,NUMBER,_T,35-39,249266
2013,NUMBER,_T,40-44,241138
2013,NUMBER,_T,45-49,260928
2013,NUMBER,_T,50-54,276575
2013,NUMBER,_T,55-59,258537
2013,NUMBER,_T,60-64,223251
2013,NUMBER,_T,65-69,153569
2013,NUMBER,_T,70-74,140455
2013,NUMBER,_T,75-79,117267
2013,NUMBER,_T,80-84,62636
2013,NUMBER,_T,85-89,22522
2013,NUMBER,_T,90-94,4862
2013,NUMBER,_T,95-99,484
2013,NUMBER,_T,100-104,108
2013,NUMBER,_T,105-109,34
2013,NUMBER,_T,110-114,59
2013,NUMBER,_T,115-120,0
2013,NUMBER,_T,Unknown,0
2013,NUMBER,_T,Total,3531159
2013,NUMBER,_T,0-14,543719
2013,NUMBER,_T,15-29,723116
2013,NUMBER,_T,15-49,1727081
2013,NUMBER,_T,15-64,2485444
2013,NUMBER,_T,65+,501996
2013,NUMBER,_T,75+,207972
2013,NUMBER,_T,85+,28069
2013,NUMBER,_T,100+,201
1971,NUMBER,M,0-4,207129
1971,NUMBER,M,5-9,225726
1971,NUMBER,M,10-14,225066
1971,NUMBER,M,15-19,209215
1971,NUMBER,M,20-24,162073
1971,NUMBER,M,25-29,109724
1971,NUMBER,M,30-34,140952
1971,NUMBER,M,35-39,139035
1971,NUMBER,M,40-44,118781
1971,NUMBER,M,45-49,70017
1971,NUMBER,M,50-54,41069
1971,NUMBER,M,55-59,48828
1971,NUMBER,M,60-64,53087
1971,NUMBER,M,65-69,37590
1971,NUMBER,M,70-74,23136
1971,NUMBER,M,75-79,9502
1971,NUMBER,M,80-84,4300
1971,NUMBER,M,85-89,1636
1971,NUMBER,M,90-94,555
1971,NUMBER,M,95-99,158
1971,NUMBER,M,100-104,15
1971,NUMBER,M,105-109,0
1971,NUMBER,M,110-114,0
1971,NUMBER,M,115-120,0
1971,NUMBER,M,Unknown,7006
1971,NUMBER,M,Total,1834600
1971,NUMBER,M,0-14,657921
1971,NUMBER,M,15-29,481012
1971,NUMBER,M,15-49,949797
1971,NUMBER,M,15-64,1092781
1971,NUMBER,M,65+,83898
1971,NUMBER,M,75+,23172
1971,NUMBER,M,85+,2364
1971,NUMBER,M,100+,15
1981,NUMBER,M,0-4,"186494 "
1981,NUMBER,M,5-9,"192284 "
1981,NUMBER,M,10-14,"201313 "
1981,NUMBER,M,15-19,"222406 "
1981,NUMBER,M,20-24,"211100 "
1981,NUMBER,M,25-29,"184730 "
1981,NUMBER,M,30-34,"150178 "
1981,NUMBER,M,35-39,"107411 "
1981,NUMBER,M,40-44,"138850 "
1981,NUMBER,M,45-49,"133616 "
1981,NUMBER,M,50-54,"112499 "
1981,NUMBER,M,55-59,"63861 "
1981,NUMBER,M,60-64,"35365 "
1981,NUMBER,M,65-69,"37922 "
1981,NUMBER,M,70-74,"34744 "
1981,NUMBER,M,75-79,"19445 "
1981,NUMBER,M,80-84,"10221 "
1981,NUMBER,M,85-89,"2446 "
1981,NUMBER,M,90-94,"820 "
1981,NUMBER,M,95-99,"342 "
1981,NUMBER,M,100-104,"26 "
1981,NUMBER,M,105-109,"0 "
1981,NUMBER,M,110-114,"0 "
1981,NUMBER,M,115-120,"0 "
1981,NUMBER,M,Unknown,"4840 "
1981,NUMBER,M,Total,"2050913 "
1981,NUMBER,M,0-14,"580091 "
1981,NUMBER,M,15-29,"618236 "
1981,NUMBER,M,15-49,"1148291 "
1981,NUMBER,M,15-64,"1360016 "
1981,NUMBER,M,65+,"110806 "
1981,NUMBER,M,75+,"38140 "
1981,NUMBER,M,85+,"3634 "
1981,NUMBER,M,100+,"26 "
1991,NUMBER,M,0-4,"170535 "
1991,NUMBER,M,5-9,"177988 "
1991,NUMBER,M,10-14,"177932 "
1991,NUMBER,M,15-19,"185292 "
1991,NUMBER,M,20-24,"188724 "
1991,NUMBER,M,25-29,"194041 "
1991,NUMBER,M,30-34,"186643 "
1991,NUMBER,M,35-39,"172024 "
1991,NUMBER,M,40-44,"139433 "
1991,NUMBER,M,45-49,"98993 "
1991,NUMBER,M,50-54,"125380 "
