Year,UNIT_MEASURE,Value
1996,Age,23.6
1997,Age,23.5
1998,Age,23.9
1999,Age,24.2
2000,Age,24.2
2001,Age,24.2
2002,Age,24.2
2003,Age,24.3
2004,Age,24.5
2005,Age,24.5
2006,Age,24.6
2007,Age,24.8
2008,Age,24.9
2009,Age,25.1
2010,Age,25.4
2011,Age,25.6
2012,Age,25.7
2013,Age,26.1
2014,Age,26.2
2015,Age,26.4
2016,Age,26.3
2017,Age,26.7
2018,Age,26.7
2019,Age,26.8
2020,Age,26.9
