Year,UNIT_MEASURE,SEX,Value
1997,NUMBER,_T,167
1998,NUMBER,_T,146
1999,NUMBER,_T,154
2000,NUMBER,_T,107
2001,NUMBER,_T,116
2002,NUMBER,_T,98
2003,NUMBER,_T,109
2004,NUMBER,_T,123
2005,NUMBER,_T,110
2006,NUMBER,_T,105
2007,NUMBER,_T,130
2008,NUMBER,_T,129
2009,NUMBER,_T,90
2010,NUMBER,_T,85
2011,NUMBER,_T,76
2012,NUMBER,_T,68
2013,NUMBER,_T,60
2014,NUMBER,_T,53
2015,NUMBER,_T,97
2016,NUMBER,_T,95
2017,NUMBER,_T,84
2018,NUMBER,_T,68
2019,NUMBER,_T,69
1997,NUMBER,M,98
1998,NUMBER,M,76
1999,NUMBER,M,88
2000,NUMBER,M,59
2001,NUMBER,M,60
2002,NUMBER,M,60
2003,NUMBER,M,72
2004,NUMBER,M,70
2005,NUMBER,M,69
2006,NUMBER,M,62
2007,NUMBER,M,73
2008,NUMBER,M,79
2009,NUMBER,M,52
2010,NUMBER,M,55
2011,NUMBER,M,39
2012,NUMBER,M,36
2013,NUMBER,M,27
2014,NUMBER,M,32
2015,NUMBER,M,48
2016,NUMBER,M,54
2017,NUMBER,M,41
2018,NUMBER,M,37
2019,NUMBER,M,36
1997,NUMBER,F,69
1998,NUMBER,F,70
1999,NUMBER,F,66
2000,NUMBER,F,48
2001,NUMBER,F,56
2002,NUMBER,F,38
2003,NUMBER,F,37
2004,NUMBER,F,53
2005,NUMBER,F,41
2006,NUMBER,F,43
2007,NUMBER,F,57
2008,NUMBER,F,50
2009,NUMBER,F,38
2010,NUMBER,F,30
2011,NUMBER,F,37
2012,NUMBER,F,32
2013,NUMBER,F,33
2014,NUMBER,F,21
2015,NUMBER,F,49
2016,NUMBER,F,41
2017,NUMBER,F,43
2018,NUMBER,F,31
2019,NUMBER,F,33
