Year,UNIT_MEASURE,SEX,Value
2014,NUMBER,_T,87317
2015,NUMBER,_T,86021
2016,NUMBER,_T,80906
2017,NUMBER,_T,74365
2018,NUMBER,_T,67031
2019,NUMBER,_T,60283
2020,NUMBER,_T,59082
2021,NUMBER,_T,56383
2022,NUMBER,_T,54605
2014,NUMBER,M,39901
2015,NUMBER,M,39150
2016,NUMBER,M,36437
2017,NUMBER,M,33278
2018,NUMBER,M,29233
2019,NUMBER,M,26031
2020,NUMBER,M,25346
2021,NUMBER,M,23955
2022,NUMBER,M,23075
2014,NUMBER,F,47416
2015,NUMBER,F,46871
2016,NUMBER,F,44469
2017,NUMBER,F,41087
2018,NUMBER,F,37798
2019,NUMBER,F,34252
2020,NUMBER,F,33736
2021,NUMBER,F,32428
2022,NUMBER,F,31530
