Year,UNIT_MEASURE,SEX,AGE,Value
2025,NUMBER,_T,41,30945
2025,NUMBER,_T,42,29847
2025,NUMBER,_T,43,29853
2025,NUMBER,_T,44,30393
2025,NUMBER,_T,45,29788
2025,NUMBER,_T,46,29477
2025,NUMBER,_T,47,29607
2025,NUMBER,_T,48,29613
2025,NUMBER,_T,49,30496
2025,NUMBER,_T,50,29648
2025,NUMBER,_T,51,29411
2025,NUMBER,_T,52,29135
2025,NUMBER,_T,53,30260
2025,NUMBER,_T,54,29606
2025,NUMBER,_T,55,28316
2025,NUMBER,_T,56,30310
2025,NUMBER,_T,57,30514
2025,NUMBER,_T,58,31359
2025,NUMBER,_T,59,32040
2025,NUMBER,_T,60,32322
2025,NUMBER,_T,61,31993
2025,NUMBER,_T,62,32198
2025,NUMBER,_T,63,33026
2025,NUMBER,_T,64,32356
2025,NUMBER,_T,65,31627
2025,NUMBER,_T,66,31270
2025,NUMBER,_T,67,29118
2025,NUMBER,_T,68,27232
2025,NUMBER,_T,69,27138
2025,NUMBER,_T,70,26674
2025,NUMBER,_T,71,24849
2025,NUMBER,_T,72,24047
2025,NUMBER,_T,73,21384
2025,NUMBER,_T,74,18836
2025,NUMBER,_T,75,18193
2025,NUMBER,_T,76,16835
2025,NUMBER,_T,77,14438
2025,NUMBER,_T,78,14603
2025,NUMBER,_T,79,10762
2025,NUMBER,_T,80,9471
2025,NUMBER,_T,81,8378
2025,NUMBER,_T,82,7872
2025,NUMBER,_T,83,8100
2025,NUMBER,_T,84,7805
2025,NUMBER,_T,85,7537
2025,NUMBER,_T,86,6192
2025,NUMBER,_T,87,5377
2025,NUMBER,_T,88,4402
2025,NUMBER,_T,89,3658
2025,NUMBER,_T,90,2915
2025,NUMBER,_T,91,2393
2025,NUMBER,_T,92,1739
2025,NUMBER,_T,93,1230
2025,NUMBER,_T,94,874
2025,NUMBER,_T,95,599
2025,NUMBER,_T,96,401
2025,NUMBER,_T,97,264
2025,NUMBER,_T,98,169
2025,NUMBER,_T,99,104
2025,NUMBER,_T,100,65
2025,NUMBER,_T,101,40
2025,NUMBER,_T,102,24
2025,NUMBER,_T,103,14
2025,NUMBER,_T,104,8
2025,NUMBER,_T,105,5
2025,NUMBER,_T,106,3
2025,NUMBER,_T,107,1
2025,NUMBER,_T,108,1
2025,NUMBER,_T,109,0
2025,NUMBER,_T,110,0
2025,NUMBER,_T,111,0
2025,NUMBER,_T,112,0
2025,NUMBER,_T,113,0
2025,NUMBER,_T,114,0
2025,NUMBER,_T,115,0
2025,NUMBER,_T,116,0
2025,NUMBER,_T,117,0
2025,NUMBER,_T,118,0
2025,NUMBER,_T,119,0
2025,NUMBER,_T,120+,0
2030,NUMBER,_T,_T,1988405
2030,NUMBER,_T,0,14980
2030,NUMBER,_T,1,15202
2030,NUMBER,_T,2,15467
